Province,Station,Category,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,Population,Area,Density,Total_Crime,Crime_Rate_per_100k,Hotspot_Label,Hotspot,Date
Western Cape,Cape Town Central,All Theft Not Mentioned Elsewhere,6692.0,6341.0,5966.0,5187.0,4985.0,5127.0,5285.0,5937.0,5600.0,5335.0,5176.0,5822734.0,129462.0,45.0,61631.0,1058.454670950107,1,1,2015-01-01
Gauteng,Jhb Central,All Theft Not Mentioned Elsewhere,6093.0,4602.0,3761.0,3610.0,3267.0,3037.0,2886.0,2638.0,2809.0,3050.0,2434.0,12272263.0,18178.0,675.1,38187.0,311.1651045939938,1,1,2015-02-01
Western Cape,Mitchells Plain,All Theft Not Mentioned Elsewhere,5341.0,6093.0,8.0,6803.0,6035.0,5761.0,6108.0,5514.0,4975.0,4043.0,3635.0,5822734.0,129462.0,45.0,54316.0,932.8264007938538,1,1,2015-03-01
Free State,Park Road,All Theft Not Mentioned Elsewhere,5108.0,4282.0,3834.0,3316.0,3101.0,9.0,2679.0,3116.0,2927.0,2297.0,2103.0,2745590.0,129825.0,21.1,32772.0,1193.6232285228311,1,1,2015-04-01
Gauteng,Pretoria Central,All Theft Not Mentioned Elsewhere,5099.0,4536.0,3309.0,2694.0,2616.0,2606.0,2635.0,3226.0,3246.0,2892.0,3030.0,12272263.0,18178.0,675.1,35889.0,292.4399517839538,1,1,2015-05-01
North West,Rustenburg,All Theft Not Mentioned Elsewhere,4239.0,4173.0,3398.0,3388.0,2737.0,2117.0,2139.0,1914.0,1897.0,1868.0,1862.0,5404868.0,104882.0,33.5,29732.0,550.0966906129808,1,1,2015-06-01
Kwazulu/Natal,Durban Central,All Theft Not Mentioned Elsewhere,4162.0,4529.0,3499.0,3353.0,3183.0,2933.0,3219.0,3418.0,3390.0,2872.0,2865.0,10267300.0,94361.0,108.8,37423.0,364.4872556563069,1,1,2015-07-01
Gauteng,Brooklyn,All Theft Not Mentioned Elsewhere,3931.0,3583.0,2878.0,2568.0,2415.0,2162.0,2050.0,1883.0,2442.0,2200.0,2107.0,12272263.0,18178.0,675.1,28219.0,229.94129118647473,1,1,2015-08-01
Gauteng,Booysens,All Theft Not Mentioned Elsewhere,3681.0,3277.0,2849.0,2603.0,2580.0,3107.0,10.0,1339.0,11.0,1039.0,943.0,12272263.0,18178.0,675.1,21439.0,174.69475678609558,1,1,2015-09-01
Gauteng,Hillbrow,All Theft Not Mentioned Elsewhere,3489.0,2914.0,3093.0,2706.0,9.0,2298.0,2051.0,1835.0,1610.0,1607.0,1618.0,12272263.0,18178.0,675.1,23230.0,189.28864220070903,1,1,2015-10-01
Mpumalanga,Nelspruit,All Theft Not Mentioned Elsewhere,3481.0,2385.0,1812.0,1558.0,1437.0,1562.0,1450.0,1390.0,1307.0,1309.0,1152.0,4039939.0,76495.0,52.8,18843.0,466.4179335381054,1,1,2015-11-01
Western Cape,Cape Town Central,Theft Out Of Or From Motor Vehicle,3468.0,2924.0,2329.0,1856.0,2905.0,3051.0,3474.0,3294.0,3612.0,3441.0,3509.0,5822734.0,129462.0,45.0,33863.0,581.5652921806148,1,1,2015-12-01
Western Cape,Mitchells Plain,Drug-Related Crime,3064.0,3683.0,4792.0,5699.0,6571.0,6260.0,5850.0,6310.0,6044.0,4768.0,4609.0,5822734.0,129462.0,45.0,57650.0,990.0847265219397,1,1,2016-01-01
Gauteng,Sandton,All Theft Not Mentioned Elsewhere,3030.0,3037.0,2556.0,2383.0,2431.0,2601.0,2446.0,2310.0,2275.0,2838.0,2866.0,12272263.0,18178.0,675.1,28773.0,234.4555360327594,1,1,2016-02-01
Western Cape,Bellville,All Theft Not Mentioned Elsewhere,3010.0,2828.0,2721.0,2911.0,2691.0,2180.0,2435.0,2231.0,2249.0,2136.0,1839.0,5822734.0,129462.0,45.0,27231.0,467.6669069890536,1,1,2016-03-01
Gauteng,Sunnyside,All Theft Not Mentioned Elsewhere,2967.0,2659.0,1866.0,1881.0,2044.0,2168.0,1862.0,1861.0,2350.0,1985.0,1820.0,12272263.0,18178.0,675.1,23463.0,191.18723254219697,1,1,2016-04-01
Eastern Cape,East London,All Theft Not Mentioned Elsewhere,2892.0,2432.0,2058.0,1892.0,1582.0,1567.0,1498.0,1251.0,1618.0,1394.0,1268.0,5404868.0,168966.0,38.8,19452.0,359.89778103739076,1,1,2016-05-01
Kwazulu/Natal,Durban Central,Robbery With Aggravating Circumstances,2721.0,3214.0,2134.0,1966.0,1371.0,899.0,924.0,885.0,951.0,982.0,1024.0,10267300.0,94361.0,108.8,17071.0,166.26571737457755,1,1,2016-06-01
Western Cape,Mitchells Plain,Common Assault,2657.0,2339.0,2131.0,2735.0,2749.0,2444.0,2810.0,2757.0,2185.0,1847.0,2079.0,5822734.0,129462.0,45.0,26733.0,459.114223661943,1,1,2016-07-01
Eastern Cape,Humewood,All Theft Not Mentioned Elsewhere,2585.0,2276.0,1889.0,1712.0,1288.0,1569.0,1294.0,1236.0,1408.0,1132.0,1044.0,5404868.0,168966.0,38.8,17433.0,322.54256718202925,1,1,2016-08-01
Gauteng,Jhb Central,Commercial Crime,2585.0,2740.0,2844.0,2870.0,2867.0,2386.0,2475.0,1680.0,1296.0,1188.0,1137.0,12272263.0,18178.0,675.1,24068.0,196.1170486649447,1,1,2016-09-01
Gauteng,Lyttelton,All Theft Not Mentioned Elsewhere,2564.0,2741.0,2272.0,1781.0,1466.0,1478.0,1394.0,1276.0,1366.0,1285.0,1283.0,12272263.0,18178.0,675.1,18906.0,154.05471672176517,1,1,2016-10-01
North West,Klerksdorp,All Theft Not Mentioned Elsewhere,2511.0,1800.0,1817.0,1844.0,1529.0,1467.0,1434.0,1332.0,1167.0,11.0,1696.0,5404868.0,104882.0,33.5,16608.0,307.27854963340457,1,1,2016-11-01
Limpopo,Polokwane,All Theft Not Mentioned Elsewhere,2499.0,2038.0,1837.0,1711.0,1666.0,1391.0,2440.0,1450.0,1887.0,1936.0,1834.0,5404868.0,125755.0,43.0,20689.0,382.7845564406013,1,1,2016-12-01
Mpumalanga,Witbank,All Theft Not Mentioned Elsewhere,2437.0,2388.0,1920.0,2072.0,2425.0,2463.0,2251.0,10.0,1943.0,2060.0,1951.0,4039939.0,76495.0,52.8,21920.0,542.5824498835254,1,1,2017-01-01
Gauteng,Jhb Central,Robbery With Aggravating Circumstances,2436.0,2374.0,2035.0,1879.0,1711.0,1596.0,1153.0,973.0,1117.0,1233.0,1694.0,12272263.0,18178.0,675.1,18201.0,148.3100549588939,1,1,2017-02-01
North West,Potchefstroom,All Theft Not Mentioned Elsewhere,2424.0,1993.0,1361.0,1352.0,1240.0,1266.0,1100.0,1062.0,1096.0,11.0,1244.0,5404868.0,104882.0,33.5,14149.0,261.78252641877657,1,1,2017-03-01
Gauteng,Honeydew,All Theft Not Mentioned Elsewhere,2423.0,2469.0,2610.0,2513.0,2663.0,2486.0,2544.0,2627.0,2568.0,2401.0,2346.0,12272263.0,18178.0,675.1,27650.0,225.3048194941715,1,1,2017-04-01
Gauteng,Kempton Park,All Theft Not Mentioned Elsewhere,2379.0,2056.0,1847.0,1633.0,1653.0,1802.0,1763.0,1587.0,1520.0,1435.0,1433.0,12272263.0,18178.0,675.1,19108.0,155.70070491481482,1,1,2017-05-01
Gauteng,Hillbrow,Robbery With Aggravating Circumstances,2280.0,2141.0,1653.0,1488.0,1095.0,9.0,755.0,759.0,835.0,1089.0,1187.0,12272263.0,18178.0,675.1,13291.0,108.30113402882581,1,1,2017-06-01
Gauteng,Brooklyn,Theft Out Of Or From Motor Vehicle,2271.0,1635.0,1270.0,1419.0,1383.0,1444.0,1153.0,1196.0,1183.0,1251.0,1063.0,12272263.0,18178.0,675.1,15268.0,124.4106323340691,1,1,2017-07-01
Western Cape,Milnerton,All Theft Not Mentioned Elsewhere,2239.0,2260.0,2270.0,2329.0,2099.0,1872.0,1875.0,2127.0,1974.0,1948.0,2144.0,5822734.0,129462.0,45.0,23137.0,397.3562934525259,1,1,2017-08-01
Eastern Cape,Mount Road,All Theft Not Mentioned Elsewhere,2234.0,2257.0,2288.0,2104.0,1657.0,1734.0,1419.0,1424.0,1456.0,1392.0,1239.0,5404868.0,168966.0,38.8,19204.0,355.30932485307693,1,1,2017-09-01
Free State,Welkom,All Theft Not Mentioned Elsewhere,2173.0,1989.0,2063.0,2327.0,2022.0,1797.0,1836.0,1828.0,1843.0,1526.0,1409.0,2745590.0,129825.0,21.1,20813.0,758.0520033945345,1,1,2017-10-01
Kwazulu/Natal,Pinetown,All Theft Not Mentioned Elsewhere,2143.0,1934.0,1422.0,1331.0,1379.0,1362.0,1433.0,1387.0,1415.0,1414.0,1289.0,10267300.0,94361.0,108.8,16509.0,160.7920290631422,1,1,2017-11-01
Gauteng,Krugersdorp,All Theft Not Mentioned Elsewhere,2117.0,2026.0,2005.0,2438.0,1862.0,1597.0,1578.0,1485.0,1575.0,1413.0,1444.0,12272263.0,18178.0,675.1,19540.0,159.2208380801487,1,1,2017-12-01
Western Cape,Claremont,All Theft Not Mentioned Elsewhere,2111.0,1894.0,1684.0,1728.0,1549.0,1426.0,1556.0,1520.0,1548.0,1690.0,1561.0,5822734.0,129462.0,45.0,18267.0,313.71860710106284,1,1,2018-01-01
Gauteng,Roodepoort,All Theft Not Mentioned Elsewhere,2110.0,2009.0,2168.0,2124.0,2200.0,2228.0,1811.0,1923.0,1769.0,1503.0,1373.0,12272263.0,18178.0,675.1,21218.0,172.8939479214225,1,1,2018-02-01
Gauteng,Vanderbijlpark,All Theft Not Mentioned Elsewhere,2108.0,1978.0,1382.0,1320.0,1130.0,1104.0,1090.0,1419.0,1525.0,1386.0,1277.0,12272263.0,18178.0,675.1,15719.0,128.08558617102648,1,1,2018-03-01
Western Cape,Parow,All Theft Not Mentioned Elsewhere,2107.0,2147.0,2022.0,1913.0,1840.0,1544.0,1795.0,1692.0,1946.0,1892.0,1693.0,5822734.0,129462.0,45.0,20591.0,353.6311292942456,1,1,2018-04-01
Western Cape,Ravensmead,All Theft Not Mentioned Elsewhere,2085.0,1940.0,2549.0,1790.0,1707.0,1788.0,1681.0,1535.0,1483.0,1454.0,1507.0,5822734.0,129462.0,45.0,19519.0,335.2205338591802,1,1,2018-05-01
Western Cape,Mitchells Plain,Burglary At Residential Premises,2079.0,2308.0,2217.0,2199.0,2066.0,1934.0,1798.0,1689.0,1417.0,1177.0,1086.0,5822734.0,129462.0,45.0,19970.0,342.96603622971617,1,1,2018-06-01
Gauteng,Pretoria West,All Theft Not Mentioned Elsewhere,2020.0,2239.0,2340.0,1976.0,2004.0,1760.0,1524.0,1570.0,1597.0,1568.0,1389.0,12272263.0,18178.0,675.1,19987.0,162.86319809150112,1,1,2018-07-01
Gauteng,Hillbrow,Assault With The Intent To Inflict Grievous Bodily Harm,1984.0,1703.0,1682.0,1658.0,1338.0,1365.0,1192.0,898.0,1026.0,1010.0,1069.0,12272263.0,18178.0,675.1,14925.0,121.6157117884452,1,1,2018-08-01
Gauteng,Mamelodi,All Theft Not Mentioned Elsewhere,1975.0,1386.0,754.0,665.0,636.0,560.0,536.0,503.0,462.0,421.0,431.0,12272263.0,18178.0,675.1,8329.0,67.86849336589349,1,1,2018-09-01
Western Cape,Worcester,All Theft Not Mentioned Elsewhere,1975.0,1992.0,1801.0,1808.0,1741.0,9.0,2315.0,1809.0,1882.0,2100.0,2034.0,5822734.0,129462.0,45.0,19466.0,334.31030852517046,1,1,2018-10-01
Northern Cape,Kimberley,All Theft Not Mentioned Elsewhere,1970.0,1731.0,1764.0,1927.0,1810.0,1598.0,1603.0,1572.0,1632.0,1616.0,1571.0,,,,18794.0,,1,1,2018-11-01
Mpumalanga,Middelburg Mpumalang,All Theft Not Mentioned Elsewhere,1956.0,1779.0,1459.0,1372.0,1607.0,1772.0,1752.0,1608.0,1779.0,1653.0,1507.0,4039939.0,76495.0,52.8,18244.0,451.5909769924744,1,1,2018-12-01
Kwazulu/Natal,Phoenix,Drug-Related Crime,1950.0,1809.0,1270.0,622.0,1085.0,1180.0,1452.0,1785.0,2043.0,2323.0,2653.0,10267300.0,94361.0,108.8,18172.0,176.9890818423539,1,1,2019-01-01
Gauteng,Garsfontein,Burglary At Residential Premises,1948.0,1498.0,1042.0,1133.0,1114.0,1035.0,865.0,936.0,711.0,589.0,705.0,12272263.0,18178.0,675.1,11576.0,94.32653130070632,1,1,2019-02-01
Gauteng,Katlehong,Common Assault,1924.0,1921.0,1735.0,1753.0,1906.0,1670.0,1423.0,717.0,600.0,647.0,510.0,12272263.0,18178.0,675.1,14806.0,120.64604547669813,1,1,2019-03-01
Kwazulu/Natal,Durban Central,Theft Of Motor Vehicle And Motorcycle,1919.0,1842.0,1267.0,1151.0,873.0,670.0,584.0,668.0,620.0,570.0,618.0,10267300.0,94361.0,108.8,10782.0,105.01300244465438,1,1,2019-04-01
Gauteng,Douglasdale,All Theft Not Mentioned Elsewhere,1914.0,2067.0,1977.0,1818.0,2071.0,2002.0,10.0,1730.0,1752.0,1765.0,1750.0,12272263.0,18178.0,675.1,18856.0,153.64729390170336,1,1,2019-05-01
Free State,Park Road,Theft Out Of Or From Motor Vehicle,1910.0,1688.0,1464.0,1969.0,1506.0,1211.0,1284.0,1750.0,1753.0,1522.0,1127.0,2745590.0,129825.0,21.1,17184.0,625.8764054356258,1,1,2019-06-01
Kwazulu/Natal,Phoenix,Common Assault,1893.0,1181.0,1046.0,1450.0,1801.0,1870.0,1881.0,1786.0,1464.0,1401.0,1426.0,10267300.0,94361.0,108.8,17199.0,167.51239371597205,1,1,2019-07-01
Gauteng,Lyttelton,Burglary At Residential Premises,1876.0,1950.0,1528.0,1481.0,1401.0,1350.0,1354.0,1173.0,1053.0,942.0,781.0,12272263.0,18178.0,675.1,14889.0,121.32236735800072,1,1,2019-08-01
Gauteng,Booysens,Burglary At Residential Premises,1871.0,1454.0,1314.0,1219.0,1294.0,1347.0,940.0,540.0,584.0,555.0,559.0,12272263.0,18178.0,675.1,11677.0,95.14952539723114,1,1,2019-09-01
Gauteng,Moroka,Common Assault,1865.0,1686.0,1753.0,1709.0,1604.0,1407.0,1340.0,1216.0,1168.0,1140.0,1171.0,12272263.0,18178.0,675.1,16059.0,130.85606134744668,1,1,2019-10-01
Western Cape,Stellenbosch,All Theft Not Mentioned Elsewhere,1864.0,2077.0,1805.0,1996.0,1743.0,1949.0,1906.0,1909.0,2143.0,2093.0,2379.0,5822734.0,129462.0,45.0,21864.0,375.4937113733858,1,1,2019-11-01
Gauteng,Booysens,Theft Of Motor Vehicle And Motorcycle,1861.0,2028.0,1624.0,1366.0,1294.0,1170.0,1049.0,681.0,709.0,11.0,574.0,12272263.0,18178.0,675.1,12367.0,100.77196031408387,1,1,2019-12-01
Gauteng,Boksburg North,All Theft Not Mentioned Elsewhere,1854.0,1880.0,1697.0,1757.0,1679.0,1576.0,1422.0,1406.0,1517.0,1268.0,1311.0,12272263.0,18178.0,675.1,17367.0,141.51424232026318,1,1,2020-01-01
Western Cape,Bishop Lavis,All Theft Not Mentioned Elsewhere,1836.0,2288.0,2217.0,1855.0,1810.0,1211.0,1508.0,1423.0,1483.0,1594.0,1409.0,5822734.0,129462.0,45.0,18634.0,320.0214881875078,1,1,2020-02-01
North West,Rustenburg,Burglary At Residential Premises,1807.0,1519.0,1651.0,1823.0,1885.0,1267.0,1389.0,1603.0,1270.0,1243.0,1363.0,5404868.0,104882.0,33.5,16820.0,311.2009395974148,1,1,2020-03-01
Kwazulu/Natal,Durban Central,Shoplifting,1802.0,1517.0,1481.0,1787.0,2570.0,1843.0,1958.0,1840.0,1694.0,1589.0,1426.0,10267300.0,94361.0,108.8,19507.0,189.9915264967421,1,1,2020-04-01
